ED,POLL NO.,URBAN,BECKLES,BOBB,DHILLON,FIJI,GOEL,MADDEN,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON WEST,,,,,,,,,,,,,,,,,,,,,,,
008,214, ,106,18,67,1,19,1,,,,,,,,,,2,0,0,214,398,"Brampton,Ridgeview Public School"
008,215, ,77,17,77,1,10,6,,,,,,,,,,0,1,1,190,371,"Brampton,Brampton Centennial Secondary School"
008,216, ,40,9,65,2,9,1,,,,,,,,,,2,1,0,129,287,"Brampton,Brampton Centennial Secondary School"
008,217, ,47,20,86,1,16,1,,,,,,,,,,0,1,0,172,431,"Brampton,Bishop Francis Allen Elementary School"
008,218, ,39,15,62,1,15,1,,,,,,,,,,0,0,0,133,417,"Brampton,Bishop Francis Allen Elementary School"
008,219, ,48,24,60,0,9,1,,,,,,,,,,1,1,0,144,358,"Brampton,St. Monica Elementary School"
008,220s, ,12,6,16,0,1,1,,,,,,,,,,0,3,0,39,123,"Brampton,Burton Manor"
008,221, ,63,13,123,3,10,1,,,,,,,,,,2,1,0,216,505,"Brampton,St. Monica Elementary School"
008,222, ,54,21,109,1,16,5,,,,,,,,,,3,1,0,210,466,"Brampton,St. Monica Elementary School"
008,223, ,59,12,86,1,8,0,,,,,,,,,,0,0,0,166,378,"Brampton,St. Augustine Secondary School"
008,224, ,68,10,65,0,7,2,,,,,,,,,,2,0,0,154,342,"Brampton,St. Augustine Secondary School"
008,225, ,77,16,82,0,21,1,,,,,,,,,,0,0,0,197,486,"Brampton,St. Brigid Separate School"
008,226, ,64,26,93,1,8,0,,,,,,,,,,1,0,1,194,406,"Brampton,St. Brigid Separate School"
008,227, ,23,12,34,0,10,1,,,,,,,,,,0,0,0,80,169,"Brampton,Brampton Centennial Secondary School"
008,228, ,66,23,105,0,20,2,,,,,,,,,,0,3,0,219,475,"Brampton,St. Brigid Separate School"
008,229, ,55,22,104,2,24,4,,,,,,,,,,2,0,0,213,524,"Brampton,Brampton Centennial Secondary School"
008,230, ,42,11,96,1,12,2,,,,,,,,,,2,0,0,166,466,"Brampton,Brampton Centennial Secondary School"
008,231, ,52,27,37,0,15,1,,,,,,,,,,1,0,0,133,326,"Brampton,Brampton Centennial Secondary School"
008,232, ,140,20,90,1,15,3,,,,,,,,,,0,0,0,269,600,"Brampton,Lionhead Golf and Country Club"
008,233, ,41,17,65,0,21,0,,,,,,,,,,2,1,0,147,323,"Brampton,St. Augustine Secondary School"
008,234, ,33,10,59,1,12,0,,,,,,,,,,0,1,0,116,314,"Brampton,St. Augustine Secondary School"
008,235, ,34,17,146,0,7,1,,,,,,,,,,0,0,0,205,436,"Brampton,St. Brigid Separate School"
008,236, ,33,10,117,0,1,2,,,,,,,,,,0,0,0,163,366,"Brampton,St. Brigid Separate School"
008,237, ,49,10,88,0,17,2,,,,,,,,,,0,0,0,166,348,"Brampton,St. Brigid Separate School"
008,238, ,25,16,117,1,13,1,,,,,,,,,,1,3,0,177,492,"Brampton,Morton Way Public School"
