ED,POLL NO.,URBAN,DUVALL,KIDD,LAW,PATFIELD,PRUE,TEAHEN ,WHITAKER,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BEACHES--EAST YORK,,,,,,,,,,,,,,,,,
005,177, ,48,0,40,2,63,31,0,,,0,0,2,186,365,"Toronto,Kew Beach United Church"
005,178, ,21,0,31,0,68,29,0,,,0,0,0,149,301,"Toronto,Kew Beach United Church"
005,179, ,54,2,21,2,87,37,0,,,0,0,0,203,398,"Toronto,Kew Beach United Church"
005,180, ,36,0,20,1,60,34,0,,,0,0,0,151,298,"Toronto,Corpus Christi Catholic School"
005,181A, ,53,1,17,0,47,58,1,,,6,0,0,183,332,"Toronto,Toronto United Mennonite Church"
005,181B, ,49,0,19,0,46,54,2,,,1,0,0,171,319,"Toronto,Toronto United Mennonite Church"
005,182, ,88,0,34,0,72,66,0,,,1,0,0,261,503,"Toronto,Kew Beach Public School"
005,183, ,36,2,31,3,83,45,0,,,0,0,0,200,384,"Toronto,Kew Beach Public School"
005,184, ,64,1,13,2,46,49,0,,,0,0,0,175,333,"Toronto,Toronto United Mennonite Church"
005,400, ,16,3,4,11,51,171,2,,,2,5,0,265,434,"Toronto,Sunrise Apartments"
005,401, ,12,0,7,10,51,155,1,,,0,2,0,238,422,"Toronto,Concordia"
005,402, ,9,0,4,2,29,49,0,,,1,0,0,94,207,"Toronto,Centennial Apartments"
005,403, ,8,2,8,8,30,12,2,,,9,0,0,79,108,"Toronto,Canadian Macedonian Place"
005,404, ,9,2,10,0,61,15,0,,,0,0,0,97,146,"Toronto,St. Clair O'Connor Community"
005,405, ,10,0,0,3,74,23,0,,,0,0,0,110,246,"Toronto,500 Dawes Road"
005,406, ,9,1,0,2,78,22,0,,,4,0,0,116,225,"Toronto,Gower Park Place"
005,407, ,4,2,1,1,38,26,1,,,0,0,0,73,226,"Toronto,Dawes Road Public Library"
005,408, ,27,2,19,3,84,46,0,,,4,1,0,186,376,"Toronto,The Trillium"
005,409, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,0,0,0,0,0,"Toronto,"
005,410, ,21,3,11,0,72,24,0,,,1,0,0,132,201,"Toronto,4 Park Vista"
005,411, ,13,3,7,2,71,33,2,,,2,1,0,134,317,"Toronto,Cedarview Towers"
005,412, ,9,0,11,2,42,13,0,,,0,0,0,77,95,"Toronto,6 Park Vista"
005,413, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,0,0,0,0,0,"Toronto,"
005,414A, ,18,3,9,8,75,100,2,,,1,0,0,216,446,"Toronto,Crescent Town - Recreation Room"
005,414B, ,12,3,15,13,70,75,3,,,2,0,0,193,409,"Toronto,Crescent Town - Recreation Room"
005,415, ,14,2,7,6,90,115,1,,,0,0,0,235,508,"Toronto,Crescent Town - Recreation Room"
005,416, ,26,4,18,3,71,35,1,,,1,0,0,159,297,"Toronto,195 Barrington Avenue"
