ED,POLL NO.,URBAN,CULLEN,JEFFREY,MCCLELLAND,ROWLEY,SINGH,TOTEDA,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMPTON--SPRINGDALE,,,,,,,,,,,,,,,,,,,,,,,
007,158, ,12,55,44,2,28,0,,,,,,,,,,1,0,0,142,400,"Brampton,Gordon Graydon Senior Public School"
007,159, ,5,73,55,0,22,1,,,,,,,,,,1,1,0,158,400,"Brampton,Gordon Graydon Senior Public School"
007,160, ,5,66,29,0,18,2,,,,,,,,,,1,1,0,122,357,"Brampton,Harold F. Loughin Public School"
007,161, ,9,60,45,0,13,1,,,,,,,,,,0,0,0,128,381,"Brampton,Harold F. Loughin Public School"
007,162, ,17,80,79,3,16,4,,,,,,,,,,0,0,0,199,453,"Brampton,Father C.W. Sullivan Catholic School"
007,163, ,12,43,65,0,8,0,,,,,,,,,,0,0,0,128,335,"Brampton,Father C.W. Sullivan Catholic School"
007,164, ,20,54,60,0,22,2,,,,,,,,,,3,0,0,161,431,"Brampton,Father C.W. Sullivan Catholic School"
007,165, ,26,104,98,0,18,1,,,,,,,,,,0,0,1,248,472,"Brampton,École élémentaire catholique Sainte-Jeanne-d'Arc"
007,166, ,15,63,29,1,17,2,,,,,,,,,,0,0,1,128,423,"Brampton,Bramalea Baptist Church"
007,167, ,11,38,21,0,3,0,,,,,,,,,,0,0,0,73,207,"Brampton,St. Cecilia Elementary School"
007,168, ,9,59,25,1,12,0,,,,,,,,,,3,0,0,109,358,"Brampton,St. Cecilia Elementary School"
007,169, ,21,96,45,2,20,6,,,,,,,,,,5,0,0,195,514,"Brampton,St. Cecilia Elementary School"
007,170, ,14,85,69,0,27,1,,,,,,,,,,0,0,0,196,456,"Brampton,École élémentaire Carrefour des Jeunes"
007,171, ,7,75,42,0,20,2,,,,,,,,,,2,0,0,148,432,"Brampton,Kingswood Drive Public School"
007,172, ,18,88,50,0,12,3,,,,,,,,,,0,0,0,171,414,"Brampton,Kingswood Drive Public School"
