ED,POLL NO.,URBAN,ALEXANDER,CORNELL,HADSKIS,JAMES,OGILVIE,STERLING,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CARLETON--MISSISSIPPI MILLS,,,,,,,,,,,,,,,,,,,,,,,
013,261, ,1,26,10,0,16,60,,,,,,,,,,1,0,0,114,260,"Carleton Place,Olde Barracks Mississippi School"
013,262, ,5,34,11,2,31,140,,,,,,,,,,0,0,0,223,420,"Munster,Munster Community Centre"
013,263, ,2,17,4,0,13,80,,,,,,,,,,0,0,0,116,242,"Munster,Munster Community Centre"
013,264, ,3,53,16,1,28,129,,,,,,,,,,0,0,0,230,468,"Carleton Place,Olde Barracks Mississippi School"
013,400, ,5,37,4,2,2,39,,,,,,,,,,1,0,0,90,157,"Ottawa,Park Ridge Place"
013,401, ,0,45,10,0,5,47,,,,,,,,,,0,1,0,108,165,"Ottawa,Park Ridge Place"
013,402, ,2,43,3,0,7,35,,,,,,,,,,0,0,0,90,173,"Ottawa,Park Ridge Place"
013,403, ,6,65,16,0,10,78,,,,,,,,,,0,1,0,176,277,"Kanata,Atriums"
013,Advanced Polls /  ADV001, ,15,591,130,14,183,916,,,,,,,,,,7,2,0,1858,0,"Kanata,Returning Office / Bureau du directeur du scrutin"
013,Advanced Polls /  ADV002, ,16,325,56,15,47,553,,,,,,,,,,2,3,0,1017,0,"Kanata,Bridlewood Community Church of the Nazarene"
013,Advanced Polls /  ADV003, ,6,237,52,2,54,567,,,,,,,,,,1,3,0,922,0,"Stittsville,Ward 6 Councillor's Office"
013,Advanced Polls /  ADV004, ,7,200,41,4,95,494,,,,,,,,,,1,1,0,843,0,"Almonte,Former Grafix Express"
013,Advanced Polls /  ADV005, ,2,69,31,3,38,289,,,,,,,,,,0,0,0,432,0,"Kinburn,West Carleton Community Complex"
013,Advanced Polls /  ADV006, ,1,51,21,1,23,235,,,,,,,,,,0,0,1,333,0,"Richmond,St. John's Anglican Church Hall"
013,Advanced Polls /  ADV007, ,4,190,36,4,47,318,,,,,,,,,,1,1,0,601,0,"Kanata,Parish of St. Isidore"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,693,16776,4002,419,5517,25126,,,,,,,,,,135,80,23,52771,95421,
