ED,POLL NO.,URBAN,ALEXANDER,CORNELL,HADSKIS,JAMES,OGILVIE,STERLING,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CARLETON--MISSISSIPPI MILLS,,,,,,,,,,,,,,,,,,,,,,,
013,126, ,2,52,24,5,8,86,,,,,,,,,,2,0,0,179,359,"Kanata,John Young Elementary School"
013,127, ,0,25,7,1,9,35,,,,,,,,,,0,0,0,77,181,"Kanata,Glen Cairn United Church"
013,128, ,1,60,24,3,25,81,,,,,,,,,,0,0,0,194,408,"Kanata,John Young Elementary School"
013,129, ,7,70,14,0,25,102,,,,,,,,,,0,0,0,218,371,"Kanata,Glen Cairn United Church"
013,130s, ,5,19,8,4,2,24,,,,,,,,,,1,1,1,65,111,"Kanata,Kanata Care Centre"
013,131, ,3,37,14,0,15,62,,,,,,,,,,0,0,0,131,331,"Kanata,Glen Cairn United Church"
013,132, ,1,39,14,1,12,90,,,,,,,,,,0,0,0,157,301,"Kanata,John Young Elementary School"
013,133, ,3,44,19,3,10,87,,,,,,,,,,0,0,0,166,326,"Kanata,Glen Cairn United Church"
013,134, ,3,73,23,1,29,103,,,,,,,,,,0,0,0,232,401,"Kanata,Holy Redeemer Church Hall"
013,135, ,3,71,19,6,31,97,,,,,,,,,,0,0,0,227,370,"Kanata,Glen Cairn United Church"
013,136, ,3,61,24,1,13,87,,,,,,,,,,0,1,0,190,351,"Kanata,Holy Redeemer Church Hall"
013,137, ,2,88,27,4,12,80,,,,,,,,,,1,0,0,214,442,"Kanata,St. James Catholic Elementary School"
013,138A, ,1,65,10,1,15,60,,,,,,,,,,0,0,0,152,297,"Kanata,St. James Catholic Elementary School"
013,138B, ,2,46,12,0,8,54,,,,,,,,,,1,0,1,124,276,"Kanata,St. James Catholic Elementary School"
013,139, ,4,101,24,0,33,103,,,,,,,,,,0,1,1,267,527,"Kanata,Bridlewood Community Church of the Nazarene"
013,140, ,2,70,20,0,27,87,,,,,,,,,,0,0,0,206,401,"Kanata,St. James Catholic Elementary School"
013,141, ,6,72,24,2,19,112,,,,,,,,,,1,0,0,236,471,"Kanata,Bridlewood Community Church of the Nazarene"
013,142, ,1,93,20,0,19,79,,,,,,,,,,0,1,0,213,453,"Kanata,St. James Catholic Elementary School"
013,143, ,4,86,21,0,24,102,,,,,,,,,,0,0,0,237,466,"Kanata,W.O. Mitchell Elementary School"
013,144, ,4,48,12,3,13,68,,,,,,,,,,0,0,0,148,409,"Kanata,St. James Catholic Elementary School"
013,145, ,9,121,17,4,34,133,,,,,,,,,,3,0,0,321,534,"Kanata,W.O. Mitchell Elementary School"
013,146, ,2,59,7,3,20,51,,,,,,,,,,0,0,0,142,298,"Kanata,Bridlewood Community Church of the Nazarene"
013,147, ,3,89,14,0,28,88,,,,,,,,,,0,1,0,223,455,"Kanata,W.O. Mitchell Elementary School"
013,148, ,1,103,19,0,25,63,,,,,,,,,,1,0,0,212,412,"Kanata,W.O. Mitchell Elementary School"
013,149, ,3,101,20,1,12,85,,,,,,,,,,1,0,0,223,381,"Kanata,Bridlewood Community Centre"
013,150s, ,9,39,1,2,3,38,,,,,,,,,,1,1,0,94,131,"Kanata,Stonehaven Manor"
013,151, ,7,77,14,1,10,83,,,,,,,,,,1,0,0,193,399,"Kanata,W.O. Mitchell Elementary School"
013,152, ,0,57,18,0,12,70,,,,,,,,,,1,0,0,158,312,"Kanata,Bridlewood Community Centre"
013,153, ,2,61,6,1,5,41,,,,,,,,,,0,0,0,116,273,"Kanata,Bridlewood Community Centre"
013,154, ,2,67,4,1,11,54,,,,,,,,,,2,0,0,141,324,"Kanata,Bridlewood Community Centre"
013,155, ,3,79,12,1,16,79,,,,,,,,,,0,0,0,190,374,"Kanata,St. Anne Catholic School"
013,156, ,1,62,4,1,24,66,,,,,,,,,,0,0,1,159,313,"Kanata,Bridlewood Community Centre"
013,157, ,1,36,8,1,6,81,,,,,,,,,,0,0,0,133,316,"Kanata,Bridlewood Community Centre"
