ED,POLL NO.,URBAN,FERGUSON,LEVAC,MCCREARY,SHELEGY,TURMEL,VAN TILBORG,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRANT,,,,,,,,,,,,,,,,,,,,,,,
009,228, ,1,40,17,11,0,29,,,,,,,,,,0,1,1,100,264,"Brantford,St. Jean de Brebeuf Elementary School"
009,229, ,0,53,25,5,1,27,,,,,,,,,,0,0,1,112,268,"Brantford,Harmony United Church"
009,230, ,3,85,39,14,1,34,,,,,,,,,,1,0,0,177,450,"Brantford,St. Jean de Brebeuf Elementary School"
009,232, ,0,41,16,5,0,20,,,,,,,,,,2,0,0,84,306,"Brantford,St. Jean de Brebeuf Elementary School"
009,233, ,3,47,30,7,1,34,,,,,,,,,,0,0,1,123,302,"Brantford,St. Jean de Brebeuf Elementary School"
009,234, ,0,32,15,3,2,16,,,,,,,,,,0,0,0,68,171,"Brantford,Woodman Park Community Centre"
009,235, ,2,111,79,16,1,13,,,,,,,,,,2,0,0,224,385,"Brantford,Woodman Park Community Centre"
009,236, ,0,116,67,15,1,25,,,,,,,,,,1,1,0,226,416,"Brantford,Woodman Park Community Centre"
009,237, ,2,74,154,28,2,29,,,,,,,,,,0,0,0,289,511,"Brantford,Onondaga Community Hall"
009,238, ,0,79,36,12,1,18,,,,,,,,,,0,1,0,147,300,"Brant County,Airport Community Hall"
009,239, ,0,77,57,18,1,23,,,,,,,,,,0,0,0,176,369,"Brantford,Assumption College"
009,240, ,0,42,26,4,0,21,,,,,,,,,,1,0,0,94,331,"Brant County,Airport Community Hall"
009,241, ,2,66,59,12,1,19,,,,,,,,,,0,0,0,159,391,"Brantford,Assumption College"
009,242, ,2,75,64,7,0,23,,,,,,,,,,0,0,0,171,388,"Brantford,Assumption College"
009,243, ,2,62,64,11,1,18,,,,,,,,,,0,1,0,159,321,"Brantford,St. Gabriel Catholic School"
009,244, ,0,80,52,9,0,17,,,,,,,,,,0,0,0,158,330,"Brantford,St. Gabriel Catholic School"
009,245, ,1,58,31,8,1,13,,,,,,,,,,0,0,0,112,272,"Brantford,St. Gabriel Catholic School"
009,246, ,0,95,56,14,0,15,,,,,,,,,,2,0,0,182,373,"Brantford,Knights of Columbus"
009,247, ,0,115,56,12,2,14,,,,,,,,,,0,0,0,199,374,"Brantford,Agnes G. Hodge Public School"
009,248, ,1,39,20,7,0,20,,,,,,,,,,1,0,0,88,270,"Brantford,Knights of Columbus"
009,249, ,1,72,23,9,0,26,,,,,,,,,,0,0,0,131,277,"Brantford,Brantwood Residential Centre"
009,250s, ,2,16,11,1,2,1,,,,,,,,,,1,1,0,35,152,"Brantford,John Noble Home"
009,251s, ,2,8,5,1,2,3,,,,,,,,,,0,0,0,21,27,"Brantford,Participation House Brantford"
009,252, ,0,54,16,12,1,22,,,,,,,,,,0,0,0,105,287,"Brantford,24 Helen Avenue"
009,253, ,3,120,64,20,0,72,,,,,,,,,,4,2,0,285,640,"Brantford,24 Helen Avenue"
009,255, ,0,86,41,19,0,24,,,,,,,,,,0,0,0,170,334,"Brantford,Agnes G. Hodge Public School"
009,256, ,3,64,35,7,0,28,,,,,,,,,,1,0,0,138,316,"Brantford,Princess Elizabeth Public School"
009,257, ,4,45,34,9,0,31,,,,,,,,,,0,0,0,123,322,"Brantford,Princess Elizabeth Public School"
009,258, ,2,90,34,9,2,35,,,,,,,,,,3,1,0,176,458,"Brantford,Princess Elizabeth Public School"
009,260, ,0,58,22,8,2,35,,,,,,,,,,0,0,0,125,299,"Brantford,Bellview Elementary School"
009,261, ,2,51,31,1,0,27,,,,,,,,,,0,0,0,112,296,"Brantford,Bellview Elementary School"
009,262, ,0,45,20,3,0,33,,,,,,,,,,0,0,0,101,291,"Brantford,Bellview Community Centre"
009,263, ,2,94,31,13,1,44,,,,,,,,,,0,0,0,185,356,"Brantford,Bellview Elementary School"
009,264, ,1,84,31,15,2,41,,,,,,,,,,0,0,0,174,351,"Brantford,Bellview Community Centre"
009,265, ,2,78,18,11,2,38,,,,,,,,,,1,0,0,150,346,"Brantford,Bellview Community Centre"
009,266, ,1,53,27,9,0,22,,,,,,,,,,0,0,0,112,262,"Brantford,Joseph Brant Senior Elementary School"
009,267, ,0,70,17,6,1,23,,,,,,,,,,0,0,0,117,298,"Brantford,Joseph Brant Senior Elementary School"
009,268, ,5,47,108,15,1,19,,,,,,,,,,1,0,0,196,314,"Brantford,Onondaga Community Hall"
009,269, ,1,82,76,14,0,42,,,,,,,,,,0,0,0,215,478,"Burford,Blessed Sacrament School"
009,270, ,1,84,56,15,1,36,,,,,,,,,,0,0,0,193,295,"Brant County,Airport Community Hall"
009,271, ,1,69,61,9,1,28,,,,,,,,,,0,0,0,169,325,"Brantford,St. Gabriel Catholic School"
009,272, ,1,47,41,13,1,22,,,,,,,,,,0,0,1,126,290,"Brantford,St. Gabriel Catholic School"
009,273, ,3,15,23,3,0,6,,,,,,,,,,0,0,0,50,95,"Brantford,St. Gabriel Catholic School"
009,274, ,0,47,44,4,1,9,,,,,,,,,,0,0,0,105,239,"Brantford,St. Gabriel Catholic School"
009,275, ,1,92,54,11,1,19,,,,,,,,,,3,0,0,181,341,"Brantford,Agnes G. Hodge Public School"
009,276, ,1,51,12,6,1,29,,,,,,,,,,2,0,0,102,287,"Brantford,Princess Elizabeth Public School"
