ED,POLL NO.,URBAN,BUTSON,CORRIGAN,ENOS,JANUCZKOWSKI,MALDONADO,MCMEEKIN,ZASLAVSKY,ZULINIAK,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
ANCASTER--DUNDAS--FLAMBOROUGH-WESTDALE,,,,,,,,,,,,,,,,,,,,,,,
003,203, ,0,80,0,10,17,107,1,0,,,,,,,,0,0,0,215,404,Holy Name of Mary School-Ancaster
003,204, ,0,62,2,13,17,103,0,0,,,,,,,,0,1,0,198,414,Holy Name of Mary School-Ancaster
003,205, ,0,48,2,4,12,60,0,1,,,,,,,,0,1,0,128,309,Holy Name of Mary School-Ancaster
003,206, ,0,48,0,10,10,80,0,0,,,,,,,,0,2,0,150,391,Holy Name of Mary School-Ancaster
003,207, ,0,33,0,6,5,42,0,0,,,,,,,,0,0,0,86,232,Holy Name of Mary School-Ancaster
003,208, ,0,43,1,5,7,32,0,2,,,,,,,,0,0,0,90,249,Holy Name of Mary School-Ancaster
003,209, ,1,33,0,5,13,47,0,1,,,,,,,,0,0,0,100,222,Holy Name of Mary School-Ancaster
003,210, ,2,172,7,25,32,106,0,0,,,,,,,,0,0,0,344,594,Lynden Troy United Church-Lynden
003,211, ,3,122,5,11,20,53,0,2,,,,,,,,2,0,0,218,420,Copetown Community Centre-Hamilton
003,212, ,0,93,0,10,17,109,0,1,,,,,,,,0,0,0,230,420,Ancaster High School-Ancaster
003,213, ,1,84,3,16,17,115,0,0,,,,,,,,0,0,0,236,419,Ancaster High School-Ancaster
003,214s, ,1,11,0,4,6,10,0,0,,,,,,,,0,1,0,33,126,The Meadows Long Term Care Centre-Ancaster
003,215, ,0,49,0,15,11,63,0,0,,,,,,,,0,0,0,138,321,Ancaster High School-Ancaster
003,216, ,0,80,1,18,38,154,0,0,,,,,,,,3,0,0,294,502,Ancaster High School-Ancaster
003,217, ,0,64,0,13,26,94,0,0,,,,,,,,0,0,0,197,370,Ancaster High School-Ancaster
003,218, ,1,111,3,14,29,111,0,3,,,,,,,,0,0,0,272,455,Ancaster Senior Public School-Ancaster
003,219s, ,1,19,0,2,8,17,0,0,,,,,,,,0,0,0,47,74,Ancaster Senior Public School-Ancaster
003,220, ,0,51,0,13,19,55,0,0,,,,,,,,1,1,1,141,254,Ancaster Senior Public School-Ancaster
003,221, ,0,92,0,12,22,72,0,1,,,,,,,,1,1,0,201,337,St. Ann's Church-Ancaster
003,222s, ,1,17,0,2,7,13,0,0,,,,,,,,0,0,0,40,53,Carrington Place Retirement Residence-Ancaster
003,223, ,0,84,0,7,33,101,0,0,,,,,,,,0,0,1,226,356,Marshall Memorial United Church-Ancaster
003,224, ,1,56,3,14,25,120,0,0,,,,,,,,1,2,0,222,388,St. Ann's Church-Ancaster
003,225s, ,0,4,0,1,5,9,0,1,,,,,,,,0,0,0,20,39,Marshall Memorial United Church-Ancaster
003,226s, ,1,11,1,0,5,17,0,0,,,,,,,,0,0,0,35,41,Highgate Retirement Residence-Ancaster
003,227, ,0,60,3,19,26,85,0,1,,,,,,,,0,0,1,195,319,St. Ann's Church-Ancaster
003,228, ,0,41,0,12,15,48,1,0,,,,,,,,0,0,0,117,219,St. Ann's Church-Ancaster
003,229, ,0,81,7,31,41,100,1,0,,,,,,,,0,0,0,261,438,St. Ann's Church-Ancaster
003,230, ,0,96,0,23,30,103,1,1,,,,,,,,0,0,0,254,458,Ancaster Meadows Elementary School-Ancaster
003,231, ,0,63,9,25,111,2,1,0,,,,,,,,0,0,1,212,367,Marritt Hall (Ancaster Agricultural Society)-Ancaster
003,232, ,0,83,2,10,20,82,0,1,,,,,,,,1,0,0,199,434,Marritt Hall (Ancaster Agricultural Society)-Ancaster
003,233, ,0,78,1,6,22,67,0,1,,,,,,,,1,0,0,176,365,Marritt Hall (Ancaster Agricultural Society)-Ancaster
003,234, ,0,66,0,14,20,112,0,0,,,,,,,,2,0,0,214,431,Marritt Hall (Ancaster Agricultural Society)-Ancaster
003,235A, ,0,103,2,8,8,5,0,1,,,,,,,,0,0,0,127,242,Redeemer University College-Ancaster
003,235B, ,0,95,3,8,2,5,0,0,,,,,,,,0,0,0,113,203,Redeemer University College-Ancaster
003,236, ,1,126,3,10,26,104,1,0,,,,,,,,0,1,0,272,497,Marritt Hall (Ancaster Agricultural Society)-Ancaster
003,237, ,0,73,0,17,13,91,0,0,,,,,,,,0,0,0,194,352,Ancaster High School-Ancaster
003,238, ,1,23,1,0,8,23,0,0,,,,,,,,0,0,1,57,142,Bishop Tonnos Catholic Secondary School-Ancaster
003,239, ,1,53,0,14,12,69,0,1,,,,,,,,1,0,0,151,309,Bishop Tonnos Catholic Secondary School-Ancaster
003,240, ,1,84,1,23,28,105,0,0,,,,,,,,0,0,0,242,451,Ancaster Senior Public School-Ancaster
003,241, ,1,52,1,4,12,53,0,0,,,,,,,,0,0,0,123,316,Bishop Tonnos Catholic Secondary School-Ancaster
003,242, ,0,81,0,23,34,121,0,0,,,,,,,,1,0,0,260,488,Ancaster Senior Public School-Ancaster
003,243, ,1,61,2,12,18,74,0,0,,,,,,,,2,0,0,170,353,Maple Lane Learning Centre-Ancaster
003,244, ,0,112,1,16,23,130,0,0,,,,,,,,2,0,0,284,471,Maple Lane Learning Centre-Ancaster
003,245, ,0,100,3,23,25,74,0,1,,,,,,,,1,0,0,227,393,Ancaster Senior Achievement Centre-Alberton
003,246, ,1,103,0,10,27,88,1,1,,,,,,,,0,1,0,232,426,Bishop Tonnos Catholic Secondary School-Ancaster
003,247, ,2,89,5,6,17,53,0,0,,,,,,,,0,1,0,173,373,Maple Lane Learning Centre-Ancaster
003,248, ,0,92,7,15,20,51,2,1,,,,,,,,0,0,1,189,318,Ancaster Senior Achievement Centre-Alberton
003,249, ,1,158,2,18,29,89,0,1,,,,,,,,0,3,0,301,454,St. Paul's Presbyterian Church-Ancaster
003,400, ,0,13,0,8,9,25,0,1,,,,,,,,0,0,0,56,124,Royal Canadian Legion Hall-Waterdown
003,401, ,0,23,1,12,31,25,0,0,,,,,,,,1,0,0,93,140,16 Helen Street-Dundas
003,402, ,1,42,7,16,47,66,0,1,,,,,,,,2,0,0,182,326,Governor's Green-Dundas
003,403, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,-Dundas
003,404, ,0,18,1,6,13,30,0,1,,,,,,,,0,0,0,69,99,J.L. Grightmire Arena-Dundas
003,405, ,2,27,1,15,35,57,0,1,,,,,,,,0,3,1,142,215,Governor's Estate-Dundas
003,406, ,0,22,0,4,9,26,0,0,,,,,,,,0,0,0,61,104,J.L. Grightmire Arena-Dundas
003,407, ,---------- NO POLL TAKEN / AUCUN VOTE INSCRIT ----------,,,,,,,,,,,,,,,0,0,0,0,0,-Dundas
003,408, ,0,13,0,3,4,42,0,0,,,,,,,,0,0,1,63,141,Dundas Baptist Church-Dundas
003,409, ,0,13,2,5,43,22,0,0,,,,,,,,0,1,0,86,175,18 Dundas Street-Dundas
003,410, ,0,27,0,8,20,38,0,0,,,,,,,,0,0,0,93,150,West Park Towers-Hamilton
003,411, ,0,24,1,19,29,64,0,0,,,,,,,,0,2,0,139,215,Camelot Towers-Hamilton
003,412, ,0,20,0,15,23,69,0,2,,,,,,,,0,1,0,130,195,Camelot Towers-Hamilton
003,413, ,0,27,2,13,29,61,0,0,,,,,,,,2,1,0,135,271,Beverley Hills Apartments-Hamilton
003,414, ,0,13,1,12,19,45,0,0,,,,,,,,0,0,0,90,194,Glen Terrace Apartments-Hamilton
003,415, ,0,83,0,21,76,130,1,1,,,,,,,,0,1,0,313,495,Forest Glen Apartments-Hamilton
003,416, ,1,27,1,4,31,45,1,0,,,,,,,,0,0,0,110,175,Westmount Towers-Hamilton
003,417, ,1,14,0,6,42,29,0,3,,,,,,,,1,0,0,96,152,Maplecrofts Apartments-Hamilton
003,418, ,0,26,0,7,18,48,0,0,,,,,,,,0,0,1,100,152,Savoy Apartments-Hamilton
003,419, ,0,13,0,13,40,32,0,0,,,,,,,,0,1,0,99,188,Saxony Apartments-Hamilton
003,420, ,1,24,0,9,26,37,0,1,,,,,,,,1,0,0,99,152,Forest Hill Apartments-Hamilton
003,Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,,,,,,
003,Advanced Polls /  ADV001, ,1,573,11,70,118,591,2,0,,,,,,,,0,0,2,1368,0,Returning Office / Bureau du directeur du scrutin-Ancaster
003,Advanced Polls /  ADV002, ,3,162,41,1,97,240,1,1,,,,,,,,1,1,1,549,0,St. George's Church-Hamilton
003,Advanced Polls /  ADV003, ,5,386,13,67,90,384,1,1,,,,,,,,2,0,0,949,0,Knox Presbyterian Church-Waterdown
003,Advanced Polls /  ADV004, ,3,168,28,3,15,112,1,2,,,,,,,,1,0,0,333,0,Marian Hall-Freelton
003,Advanced Polls /  ADV005, ,1,66,11,1,11,60,0,0,,,,,,,,0,0,0,150,0,Sheffield United Church-Sheffield
003,Advanced Polls /  ADV006, ,6,542,10,121,206,707,1,14,,,,,,,,2,0,2,1611,0,Dundas Baptist Church-Dundas
,,,,,,,,,,,,,,,,,,,,,,,
,Totals,,370,17092,548,4112,6814,20445,67,222,,,,,,,,132,91,39,49932,85910,
