ED,POLL NO.,URBAN,COOK,DEVRIES,HICKS,JOHNSTONE,JOLLEY,MURDOCH,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRUCE--GREY--OWEN SOUND,,,,,,,,,,,,,,,,,,,,,,,
010,194, ,0,0,59,9,54,51,,,,,,,,,,5,0,0,178,354,"Paisley,Paisley Community Centre"
010,195, ,0,2,28,5,34,40,,,,,,,,,,7,0,0,116,220,"Paisley,Paisley Community Centre"
010,196, ,1,2,35,7,32,66,,,,,,,,,,2,0,0,145,256,"Paisley,Paisley Community Centre"
010,197, ,0,3,16,1,20,59,,,,,,,,,,0,0,0,99,169,"Chesley,Chesley Community Church"
010,198s, ,0,0,1,1,4,20,,,,,,,,,,0,0,13,39,45,"Chesley,Elgin Abbey Nursing Home"
010,199, ,1,8,34,8,72,111,,,,,,,,,,0,0,0,234,277,"Chesley,Chesley Community Church"
010,200, ,0,5,22,5,35,66,,,,,,,,,,0,0,0,133,238,"Chesley,Chesley Community Church"
010,201, ,3,2,33,9,34,88,,,,,,,,,,0,0,0,169,311,"Chesley,Chesley Community Church"
010,202s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Chesley,"
010,203s, ,0,0,3,0,0,11,,,,,,,,,,1,1,0,16,17,"Chesley,Parkview Manor Health Care Centre"
010,204, ,0,3,21,7,42,76,,,,,,,,,,0,0,0,149,290,"Chesley,Chesley Community Church"
010,205, ,0,0,18,3,33,47,,,,,,,,,,0,1,0,102,240,"Chesley,Chesley Community Church"
010,206, ,1,2,21,8,42,58,,,,,,,,,,1,0,0,133,356,"West Grey,Dornoch Hall"
010,207, ,0,1,17,3,29,54,,,,,,,,,,0,0,0,104,245,"Grey Highlands,Beavercrest Community Elementary School"
010,208s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Markdale,"
010,209, ,0,1,19,1,63,51,,,,,,,,,,0,0,0,135,387,"Grey Highlands,Beavercrest Community Elementary School"
010,210s, ,0,0,8,4,1,24,,,,,,,,,,0,0,0,37,69,"Grey Highlands,Grey Gables Lodge"
010,211, ,1,1,17,3,39,54,,,,,,,,,,1,0,0,116,332,"Flesherton,Macphail Memorial Elementary School"
010,212, ,0,0,9,2,16,17,,,,,,,,,,0,0,0,44,108,"Grey Highlands,Osprey Recreation Centre"
010,213, ,0,0,11,0,21,29,,,,,,,,,,0,0,0,61,144,"Grey Highlands,Osprey Recreation Centre"
010,214, ,1,0,20,12,11,66,,,,,,,,,,0,0,0,110,277,"Grey Highlands,Osprey Recreation Centre"
010,215, ,1,1,40,6,52,113,,,,,,,,,,5,0,0,218,350,"Paisley,Paisley Community Centre"
010,216, ,1,0,10,3,18,34,,,,,,,,,,0,0,0,66,436,"Tara,Arkwright Hall"
010,217, ,2,0,25,11,56,72,,,,,,,,,,0,0,0,166,350,"West Grey,Dornoch Hall"
010,218, ,0,14,29,12,88,118,,,,,,,,,,0,0,0,261,567,"West Grey,Dornoch Hall"
010,219, ,0,10,28,2,80,103,,,,,,,,,,0,0,0,223,462,"Grey Highlands,Beavercrest Community Elementary School"
010,220, ,0,2,21,5,33,76,,,,,,,,,,0,0,0,137,286,"Flesherton,Macphail Memorial Elementary School"
010,221, ,0,1,27,5,66,73,,,,,,,,,,0,0,0,172,296,"Grey Highlands,Flesherton Kinplex Hall"
010,222, ,6,2,16,7,51,114,,,,,,,,,,0,0,0,196,343,"Grey Highlands,Flesherton Kinplex Hall"
