ED,POLL NO.,URBAN,COOK,DEVRIES,HICKS,JOHNSTONE,JOLLEY,MURDOCH,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRUCE--GREY--OWEN SOUND,,,,,,,,,,,,,,,,,,,,,,,
010,038, ,2,1,24,7,69,83,,,,,,,,,,0,0,0,186,439,"Wiarton,Salvation Army"
010,039, ,1,1,23,6,106,89,,,,,,,,,,0,0,0,226,412,"Kemble,Kemble and District Arena"
010,040, ,0,0,6,3,92,80,,,,,,,,,,0,0,0,181,306,"Owen Sound,Woodford Community Centre"
010,041, ,0,0,18,1,55,67,,,,,,,,,,0,0,0,141,212,"Meaford,Meaford and St. Vincent Community Centre"
010,042, ,0,2,22,10,33,60,,,,,,,,,,0,1,0,128,252,"Sauble Beach,Amabel-Sauble Community School"
010,043, ,0,0,23,6,27,47,,,,,,,,,,0,1,0,104,170,"Sauble Beach,Amabel-Sauble Community School"
010,044, ,0,2,24,7,61,78,,,,,,,,,,1,0,0,173,259,"Sauble Beach,Amabel-Sauble Community School"
010,045, ,0,9,24,9,44,101,,,,,,,,,,2,1,0,190,288,"Sauble Beach,Amabel-Sauble Community School"
010,046, ,1,1,7,0,44,72,,,,,,,,,,0,0,0,125,285,"Shallow Lake,Shallow Lake Community Centre"
010,047, ,0,3,21,8,45,76,,,,,,,,,,1,0,0,154,305,"Shallow Lake,Shallow Lake Community Centre"
010,048, ,0,11,41,5,104,139,,,,,,,,,,0,0,0,300,544,"Shallow Lake,United Church of Canada"
010,049, ,0,1,20,0,53,53,,,,,,,,,,0,0,0,127,211,"Owen Sound,Community Church of Christ"
010,050, ,3,0,36,13,166,109,,,,,,,,,,1,0,0,328,564,"Kemble,Kemble and District Arena"
010,051, ,0,3,28,2,112,74,,,,,,,,,,1,0,0,220,391,"Owen Sound,Notre Dame Catholic School"
010,052, ,0,2,25,10,91,16,,,,,,,,,,0,0,1,145,382,"Southampton,James Mason Memorial Culture and Recreation Centre"
010,053, ,0,1,27,0,31,63,,,,,,,,,,0,0,0,122,183,"Sauble Beach,Amabel-Sauble Community School"
010,054, ,0,1,19,10,22,32,,,,,,,,,,0,1,0,85,141,"Sauble Beach,Amabel-Sauble Community School"
010,055, ,0,0,24,6,18,41,,,,,,,,,,0,0,0,89,141,"Sauble Beach,Amabel-Sauble Community School"
010,056, ,0,7,21,9,61,108,,,,,,,,,,0,1,0,207,365,"Shallow Lake,Shallow Lake Community Centre"
010,057, ,2,1,19,7,58,64,,,,,,,,,,0,0,1,152,347,"Shallow Lake,Shallow Lake Community Centre"
010,058, ,1,8,32,6,87,118,,,,,,,,,,0,0,0,252,412,"Shallow Lake,United Church of Canada"
010,059, ,0,4,28,3,104,131,,,,,,,,,,2,1,0,273,432,"Owen Sound,Community Church of Christ"
010,060, ,0,0,26,7,66,66,,,,,,,,,,0,0,0,165,284,"Owen Sound,Community Church of Christ"
010,061, ,0,0,16,1,70,46,,,,,,,,,,0,0,0,133,308,"Owen Sound,Community Church of Christ"
010,062s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Owen Sound,"
010,063, ,0,3,16,2,44,45,,,,,,,,,,0,0,0,110,229,"Owen Sound,Community Church of Christ"
010,064, ,0,1,15,6,70,87,,,,,,,,,,0,0,0,179,374,"Owen Sound,Community Church of Christ"
010,065, ,0,0,11,3,32,31,,,,,,,,,,0,0,0,77,193,"Owen Sound,Notre Dame Catholic School"
010,066, ,1,1,18,13,88,80,,,,,,,,,,0,0,0,201,416,"Owen Sound,Notre Dame Catholic School"
010,067, ,1,2,17,12,96,96,,,,,,,,,,0,1,0,225,534,"Owen Sound,Notre Dame Catholic School"
010,068, ,0,0,5,1,44,18,,,,,,,,,,0,0,0,68,207,"Owen Sound,Woodford Community Centre"
010,069, ,0,0,19,7,113,116,,,,,,,,,,0,0,0,255,420,"Meaford,Meaford and St. Vincent Community Centre"
010,070, ,0,0,26,0,57,65,,,,,,,,,,0,0,0,148,259,"Meaford,Meaford Hall"
010,071, ,1,0,19,3,107,100,,,,,,,,,,0,0,0,230,341,"Meaford,Meaford and St. Vincent Community Centre"
010,072, ,0,0,12,1,33,33,,,,,,,,,,1,0,0,80,238,"Meaford,Meaford Hall"
010,073s, ,0,0,9,1,6,34,,,,,,,,,,0,2,0,52,91,"Meaford,Meaford Long Term Care Centre"
010,074s, ,..........................NO POLL HELD........................,,,,,,,,,,,,,,,0,0,0,0,0,"Meaford,"
010,075, ,1,0,15,7,83,51,,,,,,,,,,0,1,0,158,299,"Meaford,Meaford Hall"
010,076, ,1,1,17,2,43,56,,,,,,,,,,0,0,1,121,208,"Meaford,Meaford Hall"
010,077, ,0,1,18,6,42,60,,,,,,,,,,0,0,0,127,316,"Meaford,Meaford Hall"
010,078, ,0,1,20,8,49,45,,,,,,,,,,0,3,0,126,224,"Meaford,Meaford Hall"
010,079, ,1,3,25,7,67,106,,,,,,,,,,0,1,0,210,345,"Meaford,Meaford and St. Vincent Community Centre"
010,080, ,0,0,18,2,81,64,,,,,,,,,,0,0,0,165,267,"Meaford,Meaford Hall"
010,081, ,1,0,11,5,72,42,,,,,,,,,,0,0,0,131,265,"Meaford,Meaford and St. Vincent Community Centre"
010,082, ,0,0,6,5,82,83,,,,,,,,,,1,0,0,177,324,"Meaford,Georgian Bay Secondary School"
010,083, ,0,0,10,2,77,44,,,,,,,,,,0,1,0,134,295,"Meaford,Georgian Bay Secondary School"
010,084, ,1,1,28,5,71,62,,,,,,,,,,1,0,0,169,321,"Meaford,Georgian Bay Secondary School"
010,085, ,1,0,21,4,84,85,,,,,,,,,,0,0,0,195,360,"Meaford,Georgian Bay Secondary School"
010,086, ,0,4,21,11,37,60,,,,,,,,,,0,0,0,133,261,"Allenford,Allenford Curling Club"
010,087, ,1,1,17,2,40,80,,,,,,,,,,0,0,1,142,233,"Allenford,Allenford Curling Club"
010,088, ,0,8,19,7,80,141,,,,,,,,,,2,0,0,257,456,"Shallow Lake,United Church of Canada"
010,089, ,0,1,17,6,102,110,,,,,,,,,,1,1,0,238,441,"Owen Sound,West Hill Secondary School"
010,090, ,0,1,19,7,71,64,,,,,,,,,,0,0,0,162,236,"Owen Sound,Crossroads Victory Church"
010,091, ,0,2,16,3,84,54,,,,,,,,,,0,0,0,159,305,"Owen Sound,Crossroads Victory Church"
010,092, ,0,0,15,8,66,47,,,,,,,,,,0,0,0,136,245,"Owen Sound,West Hill Secondary School"
