ED,POLL NO.,URBAN,DE JONG ,FERREIRA,GARCIA,KOURI,MCKEE ,RUPRECHT,VALDEZ,VENUTO,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DAVENPORT,,,,,,,,,,,,,,,,,,,,,,,
015,099, ,12,93,16,0,2,71,0,1,,,,,,,,1,0,0,196,445,"Toronto,St. Rita Catholic School"
015,100, ,8,37,5,0,1,50,0,1,,,,,,,,0,0,0,102,314,"Toronto,St. Josaphat Catholic School"
015,101, ,12,64,23,1,0,107,0,0,,,,,,,,2,1,0,210,509,"Toronto,St. Luigi Catholic School"
015,102, ,17,52,19,1,3,67,0,1,,,,,,,,0,0,0,160,422,"Toronto,Wallace Emerson Centre"
015,103, ,8,32,13,1,1,29,0,1,,,,,,,,1,0,0,86,260,"Toronto,Wallace Emerson Centre"
015,104, ,11,55,15,0,2,66,1,2,,,,,,,,0,1,1,154,348,"Toronto,Wallace Emerson Centre"
015,105, ,8,56,13,1,2,68,0,0,,,,,,,,5,0,0,153,378,"Toronto,Dovercourt Junior Public School"
015,106, ,24,88,10,0,4,36,1,3,,,,,,,,1,0,0,167,341,"Toronto,St. Anthony Catholic School"
015,107, ,24,98,10,1,2,61,0,1,,,,,,,,2,2,0,201,409,"Toronto,Dovercourt Junior Public School"
015,108, ,28,90,19,1,4,63,1,1,,,,,,,,1,2,0,210,371,"Toronto,Dovercourt Boys & Girls Club Community Centre"
015,109, ,27,71,11,1,0,53,0,1,,,,,,,,3,0,0,167,350,"Toronto,Dovercourt Boys & Girls Club Community Centre"
015,110, ,18,113,9,0,1,61,0,0,,,,,,,,0,2,0,204,458,"Toronto,Dovercourt Boys & Girls Club Community Centre"
015,111, ,15,64,12,0,1,47,2,0,,,,,,,,0,2,0,143,355,"Toronto,Dovercourt Boys & Girls Club Community Centre"
015,112, ,23,54,11,0,0,52,0,0,,,,,,,,0,0,0,140,328,"Toronto,St. Luigi Catholic School"
015,113, ,14,37,7,1,0,30,0,0,,,,,,,,0,1,0,90,223,"Toronto,St. Rita Catholic School"
015,114, ,16,55,18,1,0,56,0,0,,,,,,,,9,0,0,155,327,"Toronto,St. Luigi Catholic School"
015,115, ,18,36,7,2,0,56,2,0,,,,,,,,2,0,1,124,345,"Toronto,St. Luigi Catholic School"
015,116, ,10,45,14,0,0,37,1,1,,,,,,,,0,0,0,108,314,"Toronto,Christie Ossington Neighbourhood Centre"
015,117, ,8,24,7,2,0,47,0,0,,,,,,,,0,0,0,88,349,"Toronto,Christie Ossington Neighbourhood Centre"
015,118, ,22,36,9,0,2,49,1,1,,,,,,,,3,1,1,125,300,"Toronto,Wallace Emerson Centre"
015,119, ,9,27,8,0,0,60,0,0,,,,,,,,0,0,0,104,286,"Toronto,Wallace Emerson Centre"
015,120, ,13,47,22,3,1,75,0,0,,,,,,,,0,0,0,161,290,"Toronto,Wallace Emerson Centre"
015,121, ,24,64,16,3,0,88,3,2,,,,,,,,1,0,0,201,432,"Toronto,St. Sebastian Elementary School"
015,122, ,15,38,14,0,0,57,0,0,,,,,,,,0,4,0,128,329,"Toronto,St. Sebastian Elementary School"
015,123, ,7,27,17,0,1,56,1,0,,,,,,,,10,0,0,119,301,"Toronto,St. Anthony Catholic School"
015,124, ,15,43,13,1,0,57,1,0,,,,,,,,0,0,0,130,354,"Toronto,St. Anthony Catholic School"
015,125, ,16,55,15,0,1,46,0,0,,,,,,,,1,0,0,134,307,"Toronto,St. Anthony Catholic School"
015,126, ,22,61,11,1,0,31,0,0,,,,,,,,0,0,0,126,301,"Toronto,St. Anthony Catholic School"
015,127, ,33,89,10,0,0,55,0,1,,,,,,,,0,0,0,188,371,"Toronto,Salvation Army Bloor Central Corps"
015,128, ,30,107,16,0,1,69,0,3,,,,,,,,1,0,0,227,414,"Toronto,Salvation Army Bloor Central Corps"
015,129, ,12,53,13,0,1,49,2,1,,,,,,,,2,0,0,133,308,"Toronto,Salvation Army Bloor Central Corps"
015,130, ,15,37,12,1,1,58,0,0,,,,,,,,4,0,0,128,393,"Toronto,Perth Avenue Co-operative"
015,131, ,15,51,7,0,0,57,0,0,,,,,,,,0,0,0,130,329,"Toronto,Perth Avenue Co-operative"
015,132, ,19,56,15,1,1,70,1,1,,,,,,,,1,0,0,165,386,"Toronto,Perth Avenue Co-operative"
015,133, ,10,49,4,0,0,52,0,0,,,,,,,,12,2,0,129,403,"Toronto,St. Sebastian Elementary School"
015,134, ,16,39,9,0,2,47,0,0,,,,,,,,1,0,0,114,346,"Toronto,St. Sebastian Elementary School"
015,135, ,14,44,9,0,2,65,0,0,,,,,,,,2,0,0,136,341,"Toronto,St. Sebastian Elementary School"
015,136, ,7,63,18,1,3,63,1,0,,,,,,,,1,0,0,157,347,"Toronto,St. Sebastian Elementary School"
015,137s, ,7,17,7,1,1,10,0,0,,,,,,,,0,0,0,43,105,"Toronto,New Horizons Tower"
015,138, ,29,84,3,1,2,40,5,0,,,,,,,,2,0,0,166,368,"Toronto,St. Mary's Catholic School"
015,139, ,17,53,13,1,1,36,0,0,,,,,,,,1,0,0,122,276,"Toronto,Portuguese Speaking Presbyterian Church"
015,140, ,23,83,11,1,1,53,0,0,,,,,,,,1,2,0,175,363,"Toronto,Portuguese Speaking Presbyterian Church"
015,141, ,41,117,4,1,0,56,2,1,,,,,,,,1,0,0,223,408,"Toronto,Portuguese Speaking Presbyterian Church"
015,142, ,6,27,4,0,0,48,1,0,,,,,,,,0,0,1,87,223,"Toronto,Perth Avenue Co-operative"
015,143, ,36,58,23,2,0,63,1,1,,,,,,,,3,0,0,187,294,"Toronto,Bebloor Condominiums"
015,144, ,37,27,9,0,1,49,0,2,,,,,,,,0,0,0,125,288,"Toronto,West Toronto Secondary School"
015,145, ,11,40,17,2,0,74,1,0,,,,,,,,2,0,0,147,394,"Toronto,West Toronto Secondary School"
015,146, ,12,33,8,0,2,56,0,1,,,,,,,,0,0,0,112,342,"Toronto,Brock Junior Public School"
015,147, ,22,45,10,1,2,67,0,0,,,,,,,,4,3,0,154,342,"Toronto,Brock Junior Public School"
015,148, ,19,50,10,0,2,57,0,1,,,,,,,,1,1,0,141,307,"Toronto,Brock Junior Public School"
015,149, ,24,46,7,0,0,43,0,2,,,,,,,,1,0,0,123,327,"Toronto,St. Helen Catholic School"
015,150, ,8,59,11,0,0,63,0,0,,,,,,,,0,0,0,141,325,"Toronto,St. Helen Catholic School"
015,151, ,31,119,8,0,0,85,1,0,,,,,,,,0,0,1,245,478,"Toronto,St. Mary's Catholic School"
015,152, ,42,87,14,1,0,57,0,0,,,,,,,,4,0,0,205,414,"Toronto,St. Mary's Catholic School"
015,153, ,27,95,17,0,1,65,0,0,,,,,,,,0,0,0,205,464,"Toronto,St. Mary's Catholic School"
015,154, ,22,80,7,0,1,36,2,0,,,,,,,,0,0,0,148,355,"Toronto,Portuguese Speaking Presbyterian Church"
015,155, ,22,110,7,0,3,35,0,1,,,,,,,,1,2,0,181,421,"Toronto,Portuguese Speaking Presbyterian Church"
015,156A, ,21,49,20,0,0,37,0,0,,,,,,,,0,0,0,127,327,"Toronto,West Toronto Secondary School"
015,156B, ,16,47,15,0,1,41,1,1,,,,,,,,1,0,0,123,309,"Toronto,West Toronto Secondary School"
015,157, ,24,56,14,1,1,45,0,0,,,,,,,,1,1,0,143,358,"Toronto,Brock Junior Public School"
015,158, ,25,51,10,0,1,57,0,0,,,,,,,,1,0,0,145,354,"Toronto,Brock Junior Public School"
015,159, ,17,35,14,0,1,58,2,0,,,,,,,,2,0,0,129,302,"Toronto,St. Helen Catholic School"
015,160s, ,3,10,1,2,0,14,1,1,,,,,,,,0,1,0,33,62,"Toronto,Bill McMurray Residences"
015,161, ,20,47,8,0,0,27,0,0,,,,,,,,0,0,0,102,227,"Toronto,St. Helen Catholic School"
015,162, ,21,69,16,0,4,49,0,1,,,,,,,,0,0,0,160,311,"Toronto,St. Mary's Catholic School"
015,163, ,15,79,10,0,4,64,1,1,,,,,,,,0,1,0,175,361,"Toronto,St. Anne's Place"
015,164, ,27,75,6,1,1,43,0,0,,,,,,,,1,0,0,154,440,"Toronto,St. Anne's Place"
015,165, ,31,65,15,0,0,39,0,0,,,,,,,,0,0,0,150,362,"Toronto,St. Mary's Catholic School"
015,166, ,31,54,12,1,0,31,0,0,,,,,,,,1,0,1,131,247,"Toronto,Ossington Old Orchard Public School"
015,167, ,21,66,6,2,0,34,4,1,,,,,,,,0,3,0,137,344,"Toronto,Ossington Old Orchard Public School"
015,168, ,28,99,11,0,0,48,0,0,,,,,,,,0,0,0,186,452,"Toronto,Ossington Old Orchard Public School"
015,169, ,8,38,11,1,1,49,0,1,,,,,,,,2,0,0,111,277,"Toronto,West Toronto Secondary School"
015,170, ,13,46,12,3,0,55,0,0,,,,,,,,3,0,0,132,323,"Toronto,Bill McMurray Residences"
015,171, ,19,56,12,0,1,55,0,2,,,,,,,,2,0,0,147,313,"Toronto,Shirley Street Public School"
015,172, ,9,25,5,0,0,26,0,0,,,,,,,,1,0,0,66,220,"Toronto,Bill McMurray Residences"
015,173, ,20,32,16,2,0,38,1,0,,,,,,,,1,1,0,111,289,"Toronto,Shirley Street Public School"
015,174, ,16,45,7,0,0,49,0,0,,,,,,,,1,1,0,119,312,"Toronto,Bill McMurray Residences"
015,175, ,15,55,9,1,1,48,0,0,,,,,,,,2,1,0,132,348,"Toronto,McCormack Recreation Centre"
015,176, ,16,50,9,0,0,39,0,0,,,,,,,,1,0,1,116,306,"Toronto,Terra Nova"
015,177, ,10,33,9,1,0,28,0,0,,,,,,,,2,1,0,84,220,"Toronto,St. Anne's Place"
015,178s, ,1,1,3,0,0,13,0,0,,,,,,,,0,0,0,18,19,"Toronto,Fairview Nursing Home"
015,179, ,40,83,13,0,2,61,0,2,,,,,,,,2,2,0,205,384,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
015,180, ,21,51,8,0,1,56,0,1,,,,,,,,1,0,0,139,354,"Toronto,Ossington Old Orchard Public School"
015,181, ,31,78,2,0,2,36,0,1,,,,,,,,0,1,0,151,332,"Toronto,Terra Nova"
015,182, ,25,60,8,0,0,29,0,0,,,,,,,,2,1,1,126,287,"Toronto,Ossington Old Orchard Public School"
015,183, ,30,60,2,1,1,39,0,2,,,,,,,,1,0,0,136,286,"Toronto,Shirley Street Public School"
015,184, ,27,77,4,0,0,46,0,0,,,,,,,,1,1,0,156,295,"Toronto,Shirley Street Public School"
015,185, ,19,61,8,0,0,72,2,0,,,,,,,,3,0,0,165,363,"Toronto,McCormack Recreation Centre"
015,186, ,11,39,2,0,0,57,1,0,,,,,,,,1,0,0,111,320,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
015,187, ,35,57,12,2,2,68,0,0,,,,,,,,1,2,0,179,375,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
015,188, ,26,68,10,0,1,58,0,0,,,,,,,,2,0,0,165,366,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
015,189, ,20,49,11,0,0,50,2,0,,,,,,,,0,1,0,133,317,"Toronto,Alexander Muir/Gladstone Ave Jr & Sr Public School"
