ED,POLL NO.,URBAN,CROWE,HAINES,HUNDAL,KULAR,NAIL,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
BRAMALEA--GORE--MALTON,,,,,,,,,,,,,,,,,,,,,,,
006,193, ,31,30,65,85,1,,,,,,,,,,,2,0,1,215,444,"Brampton,Dorest Drive Public School"
006,194, ,22,20,50,48,4,,,,,,,,,,,1,0,0,145,271,"Brampton,Dorest Drive Public School"
006,195, ,23,33,48,58,3,,,,,,,,,,,0,0,0,165,357,"Brampton,Dorest Drive Public School"
006,196, ,22,7,37,91,8,,,,,,,,,,,4,0,0,169,387,"Mississauga,Marvin Heights Public School"
006,197, ,15,13,53,92,0,,,,,,,,,,,3,1,2,179,467,"Mississauga,Morning Star Middle School"
006,198, ,8,6,35,76,1,,,,,,,,,,,2,1,0,129,437,"Mississauga,Morning Star Middle School"
006,199, ,20,4,35,80,0,,,,,,,,,,,1,0,0,140,448,"Mississauga,Morning Star Middle School"
006,200, ,27,10,20,47,3,,,,,,,,,,,0,2,0,109,303,"Mississauga,Morning Star Middle School"
006,201, ,16,11,56,110,0,,,,,,,,,,,1,0,1,195,467,"Mississauga,Ridgewood Public School"
006,202, ,11,15,31,71,3,,,,,,,,,,,0,0,0,131,375,"Mississauga,Ridgewood Public School"
006,203, ,17,34,34,60,2,,,,,,,,,,,0,0,0,147,383,"Mississauga,Ridgewood Public School"
006,204, ,31,21,64,55,1,,,,,,,,,,,0,0,0,172,365,"Brampton,St. John Fisher Secondary School"
006,205, ,33,33,56,61,0,,,,,,,,,,,0,0,0,183,374,"Brampton,St. John Fisher Secondary School"
006,206, ,38,29,54,73,2,,,,,,,,,,,5,0,0,201,379,"Brampton,Birchbank Public School"
006,207, ,31,35,91,88,5,,,,,,,,,,,1,1,0,252,424,"Brampton,St. John Fisher Secondary School"
006,208, ,43,30,56,62,4,,,,,,,,,,,1,0,0,196,373,"Brampton,Aloma Crescent Public School"
006,209, ,27,34,54,42,4,,,,,,,,,,,1,0,0,162,371,"Brampton,Aloma Crescent Public School"
006,210, ,35,18,45,60,0,,,,,,,,,,,1,0,0,159,344,"Brampton,Aloma Crescent Public School"
006,211, ,27,22,49,47,2,,,,,,,,,,,0,0,0,147,329,"Brampton,Birchbank Public School"
006,212, ,35,36,53,60,7,,,,,,,,,,,0,0,0,191,397,"Brampton,Birchbank Public School"
006,213, ,34,36,57,57,3,,,,,,,,,,,0,0,0,187,442,"Brampton,Dorest Drive Public School"
006,214, ,8,5,19,31,2,,,,,,,,,,,0,0,0,65,267,"Mississauga,Morning Star Middle School"
006,215, ,11,22,39,34,1,,,,,,,,,,,1,0,1,109,298,"Mississauga,Morning Star Middle School"
006,216, ,8,6,24,45,0,,,,,,,,,,,0,0,0,83,317,"Mississauga,Morning Star Middle School"
006,217, ,44,42,58,51,2,,,,,,,,,,,0,1,0,198,371,"Brampton,Birchbank Public School"
006,218, ,8,6,25,33,0,,,,,,,,,,,0,0,0,72,279,"Mississauga,Ridgewood Public School"
006,219, ,23,20,22,37,1,,,,,,,,,,,2,0,0,105,325,"Mississauga,Morning Star Middle School"
006,400, ,8,2,8,23,0,,,,,,,,,,,0,2,0,43,55,"Brampton,5 Dayspring Common Centre"
006,401, ,25,20,60,57,7,,,,,,,,,,,0,1,0,170,191,"Brampton,5 Dayspring Common Centre"
006,402, ,---------- COMBINED WITH POLL / COMBINÉ AVEC LE BUREAU DE VOTE 401 ----------,,,,,,,,,,,,,,,,,,,,"Brampton,5 Dayspring Common Centre"
006,403, ,19,5,14,22,0,,,,,,,,,,,0,0,0,60,295,"Brampton,800 Clark Apartment Complex"
006,404, ,26,16,28,34,1,,,,,,,,,,,1,0,0,106,252,"Mississauga,7280 Darcel Apartment Building"
006,405, ,32,13,41,87,1,,,,,,,,,,,1,3,0,178,347,"Brampton,4 Hanover Apartment Building"
006,406, ,27,19,45,85,4,,,,,,,,,,,0,0,0,180,337,"Brampton,2 Hanover Apartment Building"
006,407, ,26,4,30,35,0,,,,,,,,,,,0,0,0,95,186,"Brampton,10 Kensington Apartment Building"
006,408, ,24,13,33,85,2,,,,,,,,,,,2,1,0,160,310,"Brampton,15 Kensington Apartment Building"
006,409, ,13,5,10,41,4,,,,,,,,,,,1,0,0,74,144,"Brampton,4 Knightsbridge Apartment Building"
006,410, ,12,9,17,35,2,,,,,,,,,,,0,0,0,75,152,"Brampton,10 Knightsbridge Apartment Building"
006,411, ,26,11,50,80,5,,,,,,,,,,,3,1,0,176,264,"Brampton,25 Kensington Apartment Building"
006,412, ,36,16,64,118,3,,,,,,,,,,,1,1,0,239,485,"Brampton,18 Knightsbridge Apartment Building"
006,413, ,21,4,23,45,1,,,,,,,,,,,0,0,0,94,187,"Brampton,11 Knightsbridge Apartment Building"
