ED,POLL NO.,URBAN,CAPLAN,HAITAS,HYNES,KARGIANNAKIS,KENNEDY,KIDD,SIMMONS,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
DON VALLEY EAST,,,,,,,,,,,,,,,,,,,,,,,
016,479, ,38,4,13,1,12,0,0,,,,,,,,,2,0,0,70,141,"Toronto,Building C"
016,480, ,38,5,12,1,19,0,1,,,,,,,,,0,0,0,76,154,"Toronto,Victoria Park Towers"
016,481, ,25,5,20,2,20,0,0,,,,,,,,,0,1,0,73,170,"Toronto,Victoria Park Towers"
016,482, ,61,5,10,1,11,1,0,,,,,,,,,1,1,0,91,197,"Toronto,Golden Gate Apartments"
016,483, ,182,8,18,3,14,1,1,,,,,,,,,0,11,0,238,360,"Toronto,Sunrise Towers"
,Advance Polls / Bureaux de vote par anticipation,,,,,,,,,,,,,,,,,,,,,,
016,Advanced Polls /  ADV001, ,384,39,71,6,204,6,7,,,,,,,,,4,4,2,727,0,"Toronto,Returning Office / Bureau du directeur du scrutin"
016,Advanced Polls /  ADV002, ,569,63,68,8,219,9,1,,,,,,,,,5,4,0,946,0,"Toronto,Pleasantview Public Library"
016,Advanced Polls /  ADV003, ,242,30,49,6,121,0,0,,,,,,,,,0,0,0,448,0,"Toronto,Victoria Village Public Library"
016,Advanced Polls /  ADV004, ,417,46,49,3,210,8,4,,,,,,,,,2,2,0,741,0,"Toronto,Brookbanks Public Library"
,,,,,,,,,,,,,,,,,,,,,,,
TOTALS:,, ,19667,2287,3759,467,8878,198,99,,,,,,,,,199,132,43,35729,69646,
