ED,POLL NO.,URBAN,CARMICHAEL,HEALEY,MARTINIUK,MCGARRY,VANDERVET,,,,,,,,,,,REJECTED AS TO MARKINGS,UNMARKED BY VOTER,BALLOTS DECLINED BY VOTERS,TOTAL VOTER TURNOUT,NAMES ON LIST OF ELECTOR,VOTING PLACE ADDRESS OR LOCATION
CAMBRIDGE,,,,,,,,,,,,,,,,,,,,,,,
012,143, ,23,35,132,81,2,,,,,,,,,,,0,0,0,273,529,"Cambridge,Blair Road Public School"
012,144, ,15,17,42,46,5,,,,,,,,,,,0,1,0,126,292,"Cambridge,Blair Road Public School"
012,145, ,18,49,52,52,2,,,,,,,,,,,3,0,0,176,358,"Cambridge,Blair Road Public School"
012,146, ,16,23,37,30,1,,,,,,,,,,,1,0,0,108,306,"Cambridge,Galt Collegiate Institute"
012,147, ,13,31,38,30,2,,,,,,,,,,,0,0,0,114,320,"Cambridge,Galt Collegiate Institute"
012,148, ,17,30,42,24,2,,,,,,,,,,,1,0,0,116,344,"Cambridge,St. Peter Elementary School"
012,149, ,12,31,38,54,2,,,,,,,,,,,2,1,3,143,400,"Cambridge,St. Peter Elementary School"
012,150, ,2,19,31,84,5,,,,,,,,,,,2,3,0,146,381,"Cambridge,Highland Homes Co-operative"
012,151, ,12,20,44,29,1,,,,,,,,,,,1,1,0,108,344,"Cambridge,Highland Homes Co-operative"
012,152, ,6,15,42,34,2,,,,,,,,,,,1,0,0,100,278,"Cambridge,Alison Park Public School"
012,153, ,2,26,28,21,3,,,,,,,,,,,0,0,0,80,263,"Cambridge,Slovak Villa"
012,154, ,5,5,9,13,0,,,,,,,,,,,0,0,0,32,143,"Cambridge,Highland Homes Co-operative"
012,155, ,6,22,44,44,6,,,,,,,,,,,0,0,1,123,291,"Cambridge,Alison Park Public School"
